date,duration,T,Tmax,Tmin,Rg,Ri_PAR_f,Rh_min,Rh_max,Precipitations,Wind,Rh
2012-01-01,1 day,27.75,32.9,22.6,10.415999999999999,10.415999999999999,49.0,94.0,0.0,1.5,0.225
2012-01-02,1 day,27.8,31.5,24.1,10.271999999999998,10.271999999999998,57.0,96.0,0.0,1.9,0.195
2012-01-03,1 day,26.1,30.1,22.1,10.176,10.176,70.0,95.0,0.0,1.9,0.125
2012-01-04,1 day,27.05,31.3,22.8,10.559999999999999,10.559999999999999,40.0,93.0,0.0,2.5,0.265
2012-01-05,1 day,26.75,31.2,22.3,9.936,9.936,52.0,89.0,0.0,1.7,0.185
2012-01-06,1 day,27.25,31.5,23.0,10.224,10.224,47.0,92.0,0.0,1.4,0.225
2012-01-07,1 day,26.2,31.5,20.9,10.415999999999999,10.415999999999999,36.0,91.0,0.0,2.1,0.275
2012-01-08,1 day,26.95,32.5,21.4,10.751999999999999,10.751999999999999,50.0,93.0,0.0,1.9,0.215
2012-01-09,1 day,27.45,31.7,23.2,10.511999999999999,10.511999999999999,60.0,93.0,0.0,1.2,0.165
2012-01-10,1 day,28.45,32.8,24.1,10.559999999999999,10.559999999999999,48.0,97.0,0.0,1.4,0.245
2012-01-11,1 day,27.8,31.5,24.1,10.511999999999999,10.511999999999999,58.0,97.0,0.0,1.3,0.195
2012-01-12,1 day,27.65,32.2,23.1,10.464,10.464,50.0,93.0,0.0,1.5,0.215
2012-01-13,1 day,25.9,30.7,21.1,10.655999999999999,10.655999999999999,56.0,57.0,0.0,2.2,0.005
2012-01-14,1 day,25.45,30.6,20.3,8.016,8.016,25.0,37.0,0.0,2.8,0.06
2012-01-15,1 day,25.4,31.0,19.8,10.32,10.32,43.0,56.0,0.0,2.1,0.065
2012-01-16,1 day,25.6,31.4,19.8,10.464,10.464,30.0,60.0,0.0,1.7,0.15
2012-01-17,1 day,26.2,32.1,20.3,10.559999999999999,10.559999999999999,41.0,68.0,0.0,2.3,0.135
2012-01-18,1 day,26.7,31.4,22.0,10.511999999999999,10.511999999999999,47.0,96.0,0.0,2.7,0.245
2012-01-19,1 day,27.9,32.6,23.2,10.224,10.224,57.0,94.0,0.0,2.9,0.185
2012-01-20,1 day,28.2,31.9,24.5,10.368,10.368,62.0,94.0,0.0,3.0,0.16
