date,duration,T,Tmax,Tmin,Rg,Ri_PAR_f,Rh_min,Rh_max,Precipitations,Wind,Rh
2011-01-01,1 day,26.8,32.4,23.2,7.3919999999999995,7.3919999999999995,56.5,98.0,0.0,0.7,0.2075
2011-01-02,1 day,27.3,33.8,24.0,8.351999999999999,8.351999999999999,48.0,98.0,6.0,0.7,0.25
2011-01-03,1 day,26.0,31.3,22.2,6.192,6.192,60.5,98.0,6.0,0.6,0.1875
2011-01-04,1 day,26.0,32.3,22.3,8.688,8.688,52.0,97.5,19.0,0.7,0.2275
2011-01-05,1 day,24.6,28.1,22.0,4.272,4.272,73.0,97.5,18.0,0.5,0.1225
2011-01-06,1 day,25.7,31.5,21.8,7.4399999999999995,7.4399999999999995,52.0,97.5,4.0,0.6,0.2275
2011-01-07,1 day,25.8,31.7,22.4,6.72,6.72,55.0,98.5,2.0,0.5,0.2175
2011-01-08,1 day,26.6,32.2,22.7,8.879999999999999,8.879999999999999,49.5,96.5,0.0,0.8,0.235
2011-01-09,1 day,25.7,31.7,22.8,7.344,7.344,59.0,97.5,18.0,0.9,0.1925
2011-01-10,1 day,25.1,29.2,22.9,6.048,6.048,63.0,96.5,0.0,1.0,0.1675
2011-01-11,1 day,25.6,29.6,23.2,6.4319999999999995,6.4319999999999995,57.5,96.5,0.0,1.0,0.195
2011-01-12,1 day,26.4,32.6,22.5,9.168000000000001,9.168000000000001,47.5,97.0,0.0,0.9,0.2475
2011-01-13,1 day,26.4,32.9,21.7,9.216,9.216,38.0,96.5,0.0,0.8,0.2925
2011-01-14,1 day,26.4,33.4,23.2,8.735999999999999,8.735999999999999,47.0,97.5,0.0,0.8,0.2525
2011-01-15,1 day,26.5,32.0,23.0,7.055999999999999,7.055999999999999,54.5,98.0,0.0,0.6,0.2175
2011-01-16,1 day,26.5,31.1,23.9,5.135999999999999,5.135999999999999,60.5,97.5,0.0,0.6,0.185
2011-01-17,1 day,26.4,32.8,23.0,8.784,8.784,49.0,97.5,0.0,0.9,0.2425
2011-01-18,1 day,25.5,32.1,22.9,8.016,8.016,49.0,97.5,2.0,0.8,0.2425
2011-01-19,1 day,26.2,32.1,21.9,8.111999999999998,8.111999999999998,51.5,98.0,0.0,0.7,0.2325
2011-01-20,1 day,26.1,31.0,23.2,6.384,6.384,54.0,96.5,0.0,0.6,0.2125
2011-01-21,1 day,24.7,29.7,23.2,2.976,2.976,65.5,97.0,20.0,0.3,0.1575
2011-01-22,1 day,25.5,30.3,23.0,5.3759999999999994,5.3759999999999994,58.0,98.0,1.0,0.5,0.2
2011-01-23,1 day,23.6,25.4,22.2,1.632,1.632,70.0,98.5,12.0,0.3,0.1425
2011-01-24,1 day,24.9,30.0,22.1,5.712,5.712,64.0,97.5,0.0,0.5,0.1675
2011-01-25,1 day,25.9,32.2,22.9,7.728000000000001,7.728000000000001,48.5,96.5,0.0,0.7,0.24
2011-01-26,1 day,26.6,32.2,22.6,9.216,9.216,53.5,98.5,0.0,0.8,0.225
2011-01-27,1 day,26.2,33.2,22.4,8.495999999999999,8.495999999999999,47.5,97.5,20.0,0.8,0.25
2011-01-28,1 day,25.1,29.5,23.3,5.135999999999999,5.135999999999999,67.5,96.5,19.0,0.7,0.145
2011-01-29,1 day,25.2,30.4,22.8,6.0,6.0,61.5,96.5,0.0,0.7,0.175
2011-01-30,1 day,26.4,31.4,23.0,7.152,7.152,55.0,96.5,0.0,0.6,0.2075
2011-01-31,1 day,25.6,30.9,22.7,6.96,6.96,54.5,96.5,0.0,0.7,0.21
2011-02-01,1 day,26.0,31.3,22.4,7.152,7.152,52.0,96.5,7.0,0.7,0.2225
2011-02-02,1 day,25.7,31.4,22.9,7.584,7.584,52.5,97.0,0.0,0.8,0.2225
2011-02-03,1 day,25.2,31.3,22.7,7.199999999999999,7.199999999999999,55.5,97.0,1.0,0.8,0.2075
2011-02-04,1 day,24.3,28.6,22.9,3.9359999999999995,3.9359999999999995,70.0,97.0,2.0,0.6,0.135
2011-02-05,1 day,25.1,30.8,22.8,6.287999999999999,6.287999999999999,55.0,97.0,0.0,0.6,0.21
2011-02-06,1 day,25.2,29.5,22.6,4.896,4.896,62.0,97.0,0.0,0.5,0.175
2011-02-07,1 day,26.2,33.2,21.9,9.312,9.312,39.0,97.0,0.0,0.8,0.29
2011-02-08,1 day,26.3,32.7,22.2,7.4399999999999995,7.4399999999999995,48.5,97.0,0.0,0.5,0.2425
2011-02-09,1 day,26.9,32.6,23.0,6.335999999999999,6.335999999999999,52.5,98.0,0.0,0.4,0.2275
2011-02-10,1 day,27.6,34.8,22.7,8.64,8.64,37.5,98.0,0.0,0.4,0.3025
2011-02-11,1 day,27.5,35.3,23.3,9.264,9.264,35.5,97.0,0.0,0.6,0.3075
2011-02-12,1 day,27.2,34.3,23.3,9.312,9.312,44.0,97.0,1.0,0.6,0.265
2011-02-13,1 day,27.0,32.5,23.7,6.72,6.72,54.0,97.0,0.0,0.6,0.215
2011-02-14,1 day,26.8,32.1,23.1,6.864,6.864,53.5,97.0,0.0,0.6,0.2175
2011-02-15,1 day,25.1,29.4,21.8,4.608,4.608,64.0,97.0,20.0,0.5,0.165
