Site	ObservationDate	TMin	TMax	TAverage	HRMin	HRMax	HRAverage	WindSpeed	Rainfall	Rg
TOWE	2012-01-01	22.6	32.9	27.75	49.0	94.0	67.7	1.5	0.0	21.7
TOWE	2012-01-02	24.1	31.5	27.8	57.0	96.0	78.5	1.9	0.0	21.4
TOWE	2012-01-03	22.1	30.1	26.1	70.0	95.0	81.3	1.9	0.0	21.2
TOWE	2012-01-04	22.8	31.3	27.05	40.0	93.0	78.8	2.5	0.0	22.0
TOWE	2012-01-05	22.3	31.2	26.75	52.0	89.0	83.1	1.7	0.0	20.7
TOWE	2012-01-06	23.0	31.5	27.25	47.0	92.0	84.0	1.4	0.0	21.3
TOWE	2012-01-07	20.9	31.5	26.2	36.0	91.0	71.4	2.1	0.0	21.7
TOWE	2012-01-08	21.4	32.5	26.95	50.0	93.0	67.1	1.9	0.0	22.4
TOWE	2012-01-09	23.2	31.7	27.45	60.0	93.0	69.8	1.2	0.0	21.9
TOWE	2012-01-10	24.1	32.8	28.45	48.0	97.0	72.3	1.4	0.0	22.0
TOWE	2012-01-11	24.1	31.5	27.8	58.0	97.0	78.4	1.3	0.0	21.9
TOWE	2012-01-12	23.1	32.2	27.65	50.0	93.0	80.1	1.5	0.0	21.8
TOWE	2012-01-13	21.1	30.7	25.9	56.0	57.0	79.0	2.2	0.0	22.2
TOWE	2012-01-14	20.3	30.6	25.45	25.0	37.0	69.5	2.8	0.0	16.7
TOWE	2012-01-15	19.8	31.0	25.4	43.0	56.0	65.8	2.1	0.0	21.5
TOWE	2012-01-16	19.8	31.4	25.6	30.0	60.0	64.2	1.7	0.0	21.8
TOWE	2012-01-17	20.3	32.1	26.2	41.0	68.0	63.1	2.3	0.0	22.0
TOWE	2012-01-18	22.0	31.4	26.7	47.0	96.0	68.8	2.7	0.0	21.9
TOWE	2012-01-19	23.2	32.6	27.9	57.0	94.0	83.0	2.9	0.0	21.3
TOWE	2012-01-20	24.5	31.9	28.2	62.0	94.0	86.1	3.0	0.0	21.6
TOWE	2012-01-21	25.1	32.5	28.8	60.0	94.0	86.6	2.3	0.0	20.4
TOWE	2012-01-22	22.7	32.9	27.8	43.0	88.0	79.7	2.0	0.0	22.0
TOWE	2012-01-23	23.2	33.5	28.35	47.0	93.0	76.5	1.9	0.0	20.9
TOWE	2012-01-24	23.6	33.7	28.65	27.0	94.0	71.6	1.7	0.0	21.3
TOWE	2012-01-25	24.2	33.7	28.95	34.0	94.0	67.0	2.4	0.0	22.6
TOWE	2012-01-26	24.6	32.5	28.55	59.0	93.0	77.8	3.3	0.0	21.7
TOWE	2012-01-27	23.9	33.7	28.8	56.0	95.0	87.9	2.9	0.2	20.2
TOWE	2012-01-28	25.4	30.8	28.1	69.0	95.0	88.6	3.0	0.0	19.3
TOWE	2012-01-29	23.7	32.2	27.95	59.0	94.0	88.7	3.5	0.0	20.7
TOWE	2012-01-30	23.5	33.5	28.5	55.0	95.0	91.7	3.8	0.0	17.3
TOWE	2012-01-31	25.9	33.7	29.8	56.0	92.0	87.8	2.9	0.0	21.6
TOWE	2012-02-01	24.9	33.8	29.35	54.0	93.0	87.8	2.7	0.0	22.9
TOWE	2012-02-02	25.5	33.9	29.7	55.0	91.0	88.0	2.6	0.0	21.6
TOWE	2012-02-03	25.5	33.1	29.3	61.0	92.0	87.1	2.5	23.4	21.3
TOWE	2012-02-04	22.2	30.9	26.55	71.0	99.0	86.7	2.3	0.0	20.9
TOWE	2012-02-05	24.8	31.5	28.15	70.0	95.0	86.2	2.5	0.0	22.4
TOWE	2012-02-06	25.2	32.9	29.05	54.0	90.0	91.4	3.5	0.0	22.4
TOWE	2012-02-07	23.1	32.2	27.65	47.0	98.0	65.6	3.5	0.0	23.4
TOWE	2012-02-08	22.6	32.8	27.7	31.0	75.0	61.8	2.3	0.0	22.7
TOWE	2012-02-09	23.4	31.7	27.55	50.0	87.0	81.0	2.9	0.0	22.2
TOWE	2012-02-10	23.0	31.6	27.3	52.0	87.0	78.5	2.7	0.0	22.4
TOWE	2012-02-11	23.8	31.8	27.8	56.0	91.0	85.1	3.1	0.0	22.1
TOWE	2012-02-12	24.6	32.3	28.45	54.0	94.0	89.6	3.5	0.0	22.5
TOWE	2012-02-13	25.2	29.6	27.4	73.0	93.0	88.2	3.6	0.0	18.8
TOWE	2012-02-14	24.0	31.8	27.9	63.0	91.0	86.8	3.9	0.0	18.7
TOWE	2012-02-15	24.9	32.5	28.7	60.0	89.0	86.7	3.6	0.0	14.0
TOWE	2012-02-16	25.3	34.1	29.7	57.0	93.0	87.8	3.7	0.0	22.6
TOWE	2012-02-17	25.3	28.7	27.0	88.0	93.0	88.0	3.6	0.5	21.1
TOWE	2012-02-18	25.1	30.6	27.85	68.0	94.0	89.4	3.4	0.0	19.4
TOWE	2012-02-19	23.2	32.7	27.95	51.0	93.0	86.0	3.1	0.0	22.1
TOWE	2012-02-20	23.4	33.2	28.3	56.0	93.0	87.5	3.1	0.1	20.8
TOWE	2012-02-21	23.6	32.5	28.05	63.0	88.0	81.9	2.7	0.0	12.7
TOWE	2012-02-22	24.7	33.6	29.15	53.0	93.0	90.0	3.2	0.0	15.6
TOWE	2012-02-23	24.6	30.7	27.65	84.0	92.0	88.2	3.5	0.0	22.4
TOWE	2012-02-24	23.6	33.4	28.5	53.0	92.0	87.5	2.8	0.0	23.9
TOWE	2012-02-25	24.5	34.1	29.3	54.0	95.0	90.0	3.2	0.0	21.8
TOWE	2012-02-26	24.9	33.5	29.2	51.0	93.0	88.1	3.0	1.3	22.0
TOWE	2012-02-27	24.2	34.6	29.4	56.0	97.0	84.5	2.7	0.0	22.3
TOWE	2012-02-28	25.2	33.7	29.45	57.0	94.0	89.0	3.5	22.4	22.4
TOWE	2012-02-29	22.0	31.8	26.9	59.0	92.0	90.8	3.3	0.0	23.7
TOWE	2012-03-01	25.2	32.7	28.95	63.0	95.0	90.3	2.9	0.2	22.4
TOWE	2012-03-02	22.4	32.7	27.55	65.0	92.0	86.7	2.8	0.0	21.4
TOWE	2012-03-03	24.4	33.8	29.1	55.0	86.0	81.3	2.7	0.0	24.7
TOWE	2012-03-04	23.9	33.4	28.65	59.0	94.0	90.1	3.6	6.8	22.5
TOWE	2012-03-05	22.9	32.1	27.5	68.0	95.0	88.1	3.5	12.3	19.9
TOWE	2012-03-06	22.1	32.7	27.4	67.0	97.0	85.5	2.2	0.6	23.9
TOWE	2012-03-07	22.1	31.8	26.95	70.0	95.0	88.0	3.1	0.0	23.1
TOWE	2012-03-08	25.7	33.6	29.65	64.0	93.0	88.2	3.7	0.0	23.5
TOWE	2012-03-09	25.5	33.8	29.65	60.0	95.0	90.0	2.7	0.0	22.8
TOWE	2012-03-10	24.9	32.8	28.85	62.0	94.0	87.3	2.1		23.7
TOWE	2012-03-11	23.2	33.6	28.4	22.0	85.0	84.3	1.7	0.0	24.2
TOWE	2012-03-12	23.1	33.9	28.5	39.0	97.0	72.3	1.6	0.0	25.2
TOWE	2012-03-13	23.7	34.3	29.0	50.0	97.0	78.8	2.4	0.0	25.6
TOWE	2012-03-14	24.5	33.6	29.05	59.0	95.0	84.5	2.6	0.0	25.0
TOWE	2012-03-15	25.6	34.7	30.15	58.0	92.0	83.2	2.4	0.2	22.8
TOWE	2012-03-16	25.5	34.8	30.15	57.0	94.0	86.8	2.7	0.0	23.2
TOWE	2012-03-17	26.2	34.7	30.45	56.0	94.0	87.7	2.2	0.0	24.4
TOWE	2012-03-18	26.9	33.9	30.4	59.0	93.0	88.6	2.4	0.0	15.2
TOWE	2012-03-19	26.0	33.9	29.95	63.0	94.0	86.2	2.0	0.0	22.7
TOWE	2012-03-20	26.4	34.5	30.45	59.0	94.0	85.3	1.9	0.0	23.3
