Site,Date,Tmin,Tmax,Taverage,Rh_min,Rh_max,Rh_average,Wind,Precipitations,Rg,Ri_PAR_f
PR,2015-07-01,22.4,31.6,26.22,75.0,93.0,87.75,0.63,0.0,15.96,7.6608
PR,2015-07-02,22.3,25.7,24.57,90.0,94.0,91.83,0.06,20.47,5.52,2.6495999999999995
PR,2015-07-03,24.1,28.4,25.69,86.0,94.0,90.54,0.11,0.0,9.15,4.392
PR,2015-07-04,24.3,28.1,25.51,87.0,94.0,91.79,0.04,0.0,5.2,2.496
PR,2015-07-05,24.3,29.3,25.97,85.0,94.0,91.46,0.31,0.98,8.8,4.224
PR,2015-07-06,23.5,32.8,27.06,71.0,94.0,87.29,0.11,0.0,17.32,8.3136
PR,2015-07-07,24.2,31.2,26.87,80.0,94.0,90.21,0.04,0.0,9.3,4.464
PR,2015-07-08,24.6,32.1,27.33,78.0,94.0,89.08,0.5,0.0,14.46,6.9408
PR,2015-07-09,24.2,31.9,26.99,76.0,95.0,89.79,0.31,0.0,14.15,6.792
PR,2015-07-10,22.8,26.0,24.71,90.0,95.0,93.17,0.17,26.92,4.03,1.9344000000000001
PR,2015-07-11,23.1,28.3,25.48,86.0,95.0,92.04,0.22,0.25,8.7,4.175999999999999
PR,2015-07-12,24.4,32.6,27.04,74.0,95.0,88.38,0.17,9.28,16.99,8.155199999999999
PR,2015-07-13,24.2,32.0,27.06,75.0,94.0,89.08,0.28,0.0,15.12,7.257599999999999
PR,2015-07-14,25.2,31.6,26.77,78.0,94.0,90.29,0.2,3.53,13.18,6.3264
PR,2015-07-15,24.4,31.3,26.64,76.0,94.0,90.21,0.17,12.18,12.92,6.2016
PR,2015-07-16,24.1,28.3,25.64,88.0,95.0,93.17,0.24,9.93,7.78,3.7344
PR,2015-07-17,23.1,31.6,26.07,77.0,96.0,90.71,0.26,4.24,13.47,6.4656
PR,2015-07-18,23.2,30.8,26.66,80.0,95.0,89.92,0.65,0.0,17.53,8.4144
PR,2015-07-19,25.3,28.2,26.12,88.0,94.0,92.79,0.24,4.25,7.44,3.5712
PR,2015-07-20,24.6,28.9,26.0,83.0,95.0,91.33,0.76,7.64,11.53,5.5344
PR,2015-07-21,23.1,30.6,26.32,78.0,95.0,88.46,0.54,0.05,17.03,8.1744
PR,2015-07-22,23.4,30.1,26.09,82.0,95.0,90.13,0.37,0.0,13.94,6.691199999999999
PR,2015-07-23,23.7,30.1,26.13,81.0,95.0,89.92,0.46,4.0,10.85,5.207999999999999
PR,2015-07-24,23.7,25.6,24.47,93.0,96.0,94.75,0.06,67.1,2.65,1.272
PR,2015-07-25,23.6,28.3,24.93,87.0,96.0,93.83,0.17,0.5,9.27,4.449599999999999
PR,2015-07-26,23.3,28.2,25.03,88.0,95.0,93.21,0.24,18.98,6.46,3.1008
PR,2015-07-27,23.3,25.8,24.5,93.0,95.0,94.46,0.13,17.68,2.43,1.1664
PR,2015-07-28,22.8,27.9,24.71,84.0,96.0,91.71,0.13,4.93,7.82,3.7536
PR,2015-07-29,21.3,29.4,24.87,77.0,95.0,89.13,0.35,0.25,13.38,6.4224000000000006
PR,2015-07-30,22.6,29.2,25.1,78.0,95.0,89.58,0.56,0.0,12.9,6.192
PR,2015-07-31,23.1,30.5,25.94,78.0,95.0,89.08,0.26,1.13,12.7,6.095999999999999
PR,2015-08-01,23.5,29.8,25.98,83.0,94.0,89.46,0.39,0.0,10.66,5.1168
PR,2015-08-02,23.7,29.7,25.73,80.0,95.0,91.08,0.35,1.63,11.04,5.299199999999999
PR,2015-08-03,23.6,29.6,25.66,84.0,94.0,91.58,0.26,6.13,10.53,5.054399999999999
PR,2015-08-04,22.8,28.6,24.79,88.0,95.0,92.96,0.2,25.05,7.2,3.456
PR,2015-08-05,21.4,29.9,25.35,80.0,95.0,90.0,0.35,0.0,15.51,7.4448
PR,2015-08-06,22.2,31.1,25.56,79.0,94.0,89.42,0.28,0.0,11.99,5.7552
PR,2015-08-07,22.4,28.3,25.15,88.0,94.0,91.88,0.37,3.8,8.52,4.0896
PR,2015-08-08,23.9,28.2,25.37,87.0,94.0,91.92,0.17,0.0,8.66,4.1568
