Tmin,Tmax,TEff,root_depth,ET0,tree_ei,qty_H2O_Vap,qty_H2O_C1,qty_H2O_C1minusVap,qty_H2O_C2,qty_H2O_C,FractionC1,FractionC2,SizeC1,SizeC2,SizeC,SizeVap,SizeC1minusVap,ftsw,rain_remain,rain_effective,runoff,timestep
-Inf,-Inf,8.768461538461539,1000.0,1.0,0.8,10.0,26.612699974553742,16.612699974553742,99.618022921936,116.23072289648974,0.7392416659598262,0.9578656050186154,36.0,104.0,130.0,10.0,26.0,0.8940824838191518,0.0,6.8764,1.2736,1
-Inf,-Inf,9.106190476190475,1000.0,1.0,0.8,10.0,26.34930754768988,16.34930754768988,99.23325818230191,115.58256572999179,0.7319252096580522,0.9541659440605953,36.0,104.0,130.0,10.0,26.0,0.8890966594614753,0.0,0.0,0.0,2
-Inf,-Inf,9.206481481481482,1000.0,1.0,0.8,10.0,26.086229700174954,16.086229700174954,98.84566135751248,114.93189105768744,0.7246174916715264,0.9504390515145431,36.0,104.0,130.0,10.0,26.0,0.8840914696745188,0.0,0.0,0.3,3
-Inf,-Inf,9.39141414141414,1000.0,1.0,0.8,10.0,25.823473610102745,15.823473610102743,98.45518688090769,114.27866049101043,0.717318711391743,0.946684489239497,36.0,104.0,130.0,10.0,26.0,0.8790666191616187,0.0,0.0,0.0,4
-Inf,-Inf,9.212962962962962,1000.0,1.0,0.8,10.0,25.561046660303656,15.561046660303656,98.06178800161494,113.6228346619186,0.7100290738973238,0.9429018077078359,36.0,104.0,130.0,10.0,26.0,0.8740218050916816,0.0,0.0,0.0,5
-Inf,-Inf,9.133928571428573,1000.0,1.0,0.8,10.0,25.298956446107514,15.298956446107514,97.66541674149687,112.96437318760438,0.7027487901696532,0.9390905455913161,36.0,104.0,130.0,10.0,26.0,0.868956716827726,0.0,0.0,0.0,6
-Inf,-Inf,9.19814814814815,1000.0,1.0,0.8,10.0,25.037210783480305,15.037210783480306,97.26602385007484,112.30323463355515,0.6954780773188973,0.9352502293276428,36.0,104.0,130.0,10.0,26.0,0.8638710356427319,0.0,0.0,0.0,7
-Inf,-Inf,9.386734693877552,1000.0,1.0,0.8,10.0,24.775817717556954,14.775817717556954,96.863558757311,111.63937647486796,0.6882171588210265,0.9313803726664519,36.0,104.0,130.0,10.0,26.0,0.8587644344220612,0.0,0.0,0.0,8
-Inf,-Inf,9.195871559633028,1000.0,1.0,0.8,10.0,24.514785531593624,14.514785531593622,96.45796952412338,110.972755055717,0.6809662647664896,0.927480476193494,36.0,104.0,130.0,10.0,26.0,0.8536365773516692,0.0,0.0,0.0,9
-Inf,-Inf,9.133928571428573,1000.0,1.0,0.8,10.0,24.25412275636483,14.25412275636483,96.04920279050008,110.3033255468649,0.6737256321212453,0.9235500268317315,36.0,104.0,130.0,10.0,26.0,0.8484871195912684,0.0,0.0,0.25,10
-Inf,-Inf,9.167272727272728,1000.0,1.0,0.8,10.0,23.993838180032355,13.993838180032357,95.63720372106867,109.63104190110103,0.6664955050008987,0.919588497317968,36.0,104.0,130.0,10.0,26.0,0.8433157069315463,0.0,0.0,0.0,11
-Inf,-Inf,8.207931034482757,1000.0,1.0,0.8,10.0,23.733940858514963,13.733940858514961,95.22191594796735,108.9558568064823,0.6592761349587489,0.9155953456535322,36.0,104.0,130.0,10.0,26.0,0.8381219754344792,0.0,0.0,0.0,12
-Inf,-Inf,8.789837398373985,1000.0,1.0,0.8,10.0,23.474440126389943,13.474440126389945,94.80328151085244,108.2777216372424,0.6520677812886095,0.9115700145274274,36.0,104.0,130.0,10.0,26.0,0.8329055510557107,0.0,0.0,0.0,13
-Inf,-Inf,9.040598290598291,1000.0,1.0,0.8,10.0,23.21534560836002,13.215345608360021,94.3812407938657,107.59658640222573,0.644870711343334,0.9075119307102472,36.0,104.0,130.0,10.0,26.0,0.8276660492478902,0.0,0.0,0.0,14
-Inf,-Inf,9.336274509803923,1000.0,1.0,0.8,10.0,22.956667231321298,12.956667231321298,93.95573245937108,106.91239969069238,0.637685200870036,0.9034205044170296,36.0,104.0,130.0,10.0,26.0,0.8224030745437876,0.0,0.0,0.0,15
-Inf,-Inf,8.781007751937985,1000.0,1.0,0.8,10.0,22.698415237071004,12.698415237071005,93.52669337825691,106.22510861532791,0.6305115343630834,0.8992951286370856,36.0,104.0,130.0,10.0,26.0,0.817116220117907,0.0,0.0,0.0,16
-Inf,-Inf,9.12452830188679,1000.0,1.0,0.8,10.0,24.409687928421654,14.409687928421652,93.10974325614491,107.51943118456656,0.6780468869006016,0.8952859928475472,36.0,104.0,130.0,10.0,26.0,0.827072547573589,0.0,1.9758,0.8241999999999998,17
-Inf,-Inf,9.018695652173914,1000.0,1.0,0.8,10.0,24.145532832384504,14.145532832384504,92.68936354403002,106.83489637641452,0.670709245344014,0.8912438802310578,36.0,104.0,130.0,10.0,26.0,0.8218068952031886,0.0,0.0,0.0,18
-Inf,-Inf,8.885042735042735,1000.0,1.0,0.8,10.0,23.881759405638782,13.881759405638784,92.26549172736082,106.14725113299961,0.6633822057121884,0.8871681896861617,36.0,104.0,130.0,10.0,26.0,0.8165173164076893,0.0,0.0,0.0,19
-Inf,-Inf,8.516176470588237,1000.0,1.0,0.8,10.0,23.618377410412286,13.618377410412284,91.83806344252898,105.45644085294126,0.656066039178119,0.8830583023320094,36.0,104.0,130.0,10.0,26.0,0.8112033911764712,0.0,0.0,0.0,20
-Inf,-Inf,8.759677419354839,1000.0,1.0,0.8,10.0,23.35539692767351,13.355396927673512,91.40701240017893,104.76240932785244,0.6487610257687086,0.8789135807709513,36.0,104.0,130.0,10.0,26.0,0.8058646871373264,0.0,0.0,0.0,21
-Inf,-Inf,8.858130081300814,1000.0,1.0,0.8,10.0,25.518387627298118,15.518387627298118,90.99182317474988,106.510210802048,0.7088441007582811,0.8749213766802874,36.0,104.0,130.0,10.0,26.0,0.8193093138619076,0.0,2.4338,0.8661999999999996,22
-Inf,-Inf,8.717187500000001,1000.0,1.0,0.8,10.0,28.404786913588897,18.404786913588897,90.5970374541719,109.00182436776079,0.7890218587108027,0.8711253601362683,36.0,104.0,130.0,10.0,26.0,0.8384755720596984,0.0,3.1666,0.9333999999999998,23
-Inf,-Inf,8.560791366906473,1000.0,1.0,0.8,10.0,28.12481884842244,18.12481884842244,90.19907235689216,108.3238912053146,0.7812449680117344,0.8672987726624246,36.0,104.0,130.0,10.0,26.0,0.8332607015793431,0.0,0.0,0.0,24
-Inf,-Inf,9.101754385964911,1000.0,1.0,0.8,10.0,27.845090129633643,17.845090129633643,89.79787128837559,107.64296141800924,0.7734747258231568,0.8634410700805345,36.0,104.0,130.0,10.0,26.0,0.8280227801385326,0.0,0.0,0.0,25
-Inf,-Inf,9.048113207547171,1000.0,1.0,0.8,10.0,27.565607672523267,17.565607672523267,89.39337602080568,106.95898369332895,0.7657113242367575,0.8595516925077469,36.0,104.0,130.0,10.0,26.0,0.8227614130256072,0.0,0.0,0.0,26
-Inf,-Inf,9.225247524752474,1000.0,1.0,0.8,10.0,33.5960699186699,23.596069918669894,89.02988586082493,112.62595577949483,0.9332241644074971,0.8560565948156243,36.0,104.0,130.0,10.0,26.0,0.866353505996114,0.0,6.3268,1.2231999999999994,27
-Inf,-Inf,8.981192660550459,1000.0,1.0,0.8,10.0,33.29981718395216,23.29981718395216,88.66361195176665,111.96342913571881,0.9249949217764488,0.8525347303054486,36.0,104.0,130.0,10.0,26.0,0.861257147197837,0.0,0.0,0.0,28
-Inf,-Inf,8.771008403361346,1000.0,1.0,0.8,10.0,33.003653199466804,23.003653199466804,88.2945074633524,111.29816066281921,0.9167681444296334,0.8489856486860808,36.0,104.0,130.0,10.0,26.0,0.8561396974063017,0.0,0.0,0.0,29
-Inf,-Inf,9.023504273504274,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,25.98234066281921,44.684180000000005,1.9158199999999965,30
-Inf,-Inf,9.178181818181818,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.05,31
-Inf,-Inf,9.48978494623656,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.0,32
-Inf,-Inf,9.284653465346533,1000.0,1.0,0.8,10.0,34.88226916699195,24.882269166991943,102.7039978041856,127.58626697117755,0.9689519213053318,0.9875384404248616,36.0,104.0,130.0,10.0,26.0,0.9814328228552119,0.0,0.0,0.0,33
-Inf,-Inf,9.137272727272727,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,3.821466971177543,6.235200000000001,1.2147999999999994,34
-Inf,-Inf,9.135321100917432,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,35
-Inf,-Inf,9.206000000000001,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.0,36
-Inf,-Inf,8.90438596491228,1000.0,1.0,0.8,10.0,34.88226916699195,24.882269166991943,102.7039978041856,127.58626697117755,0.9689519213053318,0.9875384404248616,36.0,104.0,130.0,10.0,26.0,0.9814328228552119,0.0,0.0,0.0,37
-Inf,-Inf,8.785398230088497,1000.0,1.0,0.8,10.0,34.603175227745695,24.60317522774569,102.37488447559689,126.97805970334258,0.9611993118818248,0.9843738891884316,36.0,104.0,130.0,10.0,26.0,0.9767543054103276,0.0,0.0,0.0,38
-Inf,-Inf,8.846638655462186,1000.0,1.0,0.8,10.0,34.3242235286936,24.3242235286936,102.04367056617005,126.36789409486366,0.9534506535748223,0.9811891400593274,36.0,104.0,130.0,10.0,26.0,0.9720607238066435,0.0,0.0,0.0,39
-Inf,-Inf,8.613970588235292,1000.0,1.0,0.8,10.0,34.045417584073704,24.045417584073704,101.71032728397554,125.75574486804925,0.9457060440020473,0.9779839161920726,36.0,104.0,130.0,10.0,26.0,0.9673518836003788,0.0,0.0,0.0,40
-Inf,-Inf,9.116666666666667,1000.0,1.0,0.8,10.0,33.766760997036684,23.766760997036688,101.37482520344503,125.14158620048171,0.937965583251019,0.9747579346485099,36.0,104.0,130.0,10.0,26.0,0.9626275861575516,0.0,0.0,0.0,41
-Inf,-Inf,8.6796875,1000.0,1.0,0.8,10.0,33.48825746254647,23.48825746254647,101.0371342459223,124.52539170846877,0.9302293739596242,0.9715109062107914,36.0,104.0,130.0,10.0,26.0,0.9578876285266829,0.0,0.0,0.0,42
-Inf,-Inf,9.485106382978723,1000.0,1.0,0.8,10.0,33.209910770399716,23.209910770399716,100.69722365944384,123.90713442984355,0.9224975213999921,0.9682425351869599,36.0,104.0,130.0,10.0,26.0,0.9531318033064888,0.0,0.0,0.0,43
-Inf,-Inf,8.768461538461539,1000.0,1.0,0.8,10.0,32.93172480837018,22.931724808370177,100.3550619977113,123.28678680608148,0.9147701335658383,0.9649525192087626,36.0,104.0,130.0,10.0,26.0,0.948359898508319,0.0,0.0,0.0,44
-Inf,-Inf,9.07056074766355,1000.0,1.0,0.8,10.0,32.6537035654842,22.6537035654842,100.01061709821658,122.66432066370078,0.90704732126345,0.9616405490213134,36.0,104.0,130.0,10.0,26.0,0.9435716974130829,0.0,0.0,0.0,45
-Inf,-Inf,9.079565217391306,1000.0,1.0,0.8,10.0,32.37585113543398,22.375851135433983,99.663856059477,122.03970719491099,0.8993291982064995,0.9583063082642019,36.0,104.0,130.0,10.0,26.0,0.9387669784223922,0.0,0.0,0.0,46
-Inf,-Inf,8.841199999999999,1000.0,1.0,0.8,10.0,32.09817172013567,22.098171720135664,99.3147452173364,121.41291693747206,0.8916158811148797,0.9549494732436192,36.0,104.0,130.0,10.0,26.0,0.9339455149036312,0.0,0.0,0.0,47
-Inf,-Inf,8.309602649006623,1000.0,1.0,0.8,10.0,31.820669633439703,21.820669633439703,98.96325012028481,120.78391975372452,0.8839074898177696,0.9515697126950463,36.0,104.0,130.0,10.0,26.0,0.9291070750286501,0.0,0.0,0.0,48
-Inf,-Inf,8.832677165354333,1000.0,1.0,0.8,10.0,31.54334930500151,21.54334930500151,98.6093355037469,120.15268480874842,0.876204147361153,0.948166687536028,36.0,104.0,130.0,10.0,26.0,0.924251421605757,0.0,0.0,0.0,49
-Inf,-Inf,8.523381294964029,1000.0,1.0,0.8,10.0,31.266215284320694,21.266215284320694,98.25296526328586,119.51918054760655,0.8685059801200192,0.9447400506085178,36.0,104.0,130.0,10.0,26.0,0.9193783119046658,0.0,0.0,0.0,50
-Inf,-Inf,8.692307692307693,1000.0,1.0,0.8,10.0,30.989272244957924,20.989272244957924,97.89410242666666,118.88337467162458,0.8608131179154979,0.9412894464102564,36.0,104.0,130.0,10.0,26.0,0.9144874974740352,0.0,0.0,0.0,51
